date,text,emotion
Wednesday 08 September 2021,I went for shopping today at the mall and ate lunch with my friend,neutral
Wednesday 08 September 2021,I have been trying to buy a house but I am not able to,neutral
Wednesday 08 September 2021,I did not feel good after going to the party today,worry
Wednesday 08 September 2021,"it was a nice day",neutral
Thursday 09 September 2021,"Today i went for bicycle ride with brother in the morning. I was amazing!",relief
Friday 10 September 2021,"It was amazing!",surprise
Friday 24 September 2021,"Hi, It was fun today! My brother made evening snacks for me and we had a great family time together!",happiness
Friday 24 September 2021,"I had a very amazing time today!",love
Friday 24 September 2021,"Hi, I went to visit the zoo with my family today. I saw an alligator for the very first time!",happiness
Saturday 25 September 2021,"I wanted to go to trip with my friends today. We planned to go on a hill station. All the planning went great.",neutral

Saturday 25 September 2021,"I started my volunteer work from today. I went to orphanage and helped kids learn new technologies.",neutral
Saturday 25 September 2021,"Today while I was cleaning my cupboard, I want some old pictures of me and my sisters. We all were laughing a lot in this picture. I believe that it should be some really funny moment. Another moment.",love
